ID,predicted_label,correct_prediction,epistemic_uncertainty,aleatoric_uncertainty,total_uncertainty
108,4,False,3.783108e-05,0.15341978,0.15345761
109,4,False,5.5190292e-05,0.15062375,0.15067895
110,4,False,6.006032e-05,0.15122499,0.15128505
111,4,False,6.31358e-05,0.15349835,0.15356149
112,4,True,4.432049e-05,0.1524697,0.15251401
113,4,False,5.1441257e-05,0.15193044,0.15198188
114,4,True,2.652489e-05,0.1525661,0.15259263
115,4,False,7.252994e-05,0.15174901,0.15182154
116,4,True,3.834896e-05,0.15384689,0.15388525
117,4,False,3.852904e-05,0.1534879,0.15352644
118,4,False,4.1164105e-05,0.15170169,0.15174285
119,4,True,6.569107e-05,0.15172605,0.15179174
120,4,False,6.622257e-05,0.15090123,0.15096745
121,4,False,5.6517543e-05,0.15218888,0.1522454
122,4,False,2.5420195e-05,0.15245464,0.15248007
123,4,False,4.8556118e-05,0.15303883,0.15308739
124,4,False,5.3497548e-05,0.15090133,0.15095483
125,4,False,7.0426686e-05,0.15248543,0.15255585
126,4,False,3.5161767e-05,0.15402827,0.15406343
127,4,True,4.4834716e-05,0.15343268,0.15347752
128,4,False,5.7488298e-05,0.15335998,0.15341747
129,4,False,5.8183126e-05,0.1547336,0.15479179
130,4,False,6.2186045e-05,0.15220632,0.1522685
131,4,False,3.3504104e-05,0.15374681,0.15378031
132,4,False,5.337336e-05,0.1508932,0.15094657
133,4,False,3.4611843e-05,0.15257388,0.1526085
134,4,True,7.8185985e-05,0.15343507,0.15351325
135,4,True,4.692827e-05,0.15230103,0.15234795
136,4,False,3.395179e-05,0.15340108,0.15343502
137,4,False,7.067185e-05,0.15355875,0.15362942
138,4,True,6.693867e-05,0.15202346,0.1520904
139,4,False,4.548938e-05,0.15192837,0.15197386
140,4,False,6.648871e-05,0.15376836,0.15383485
141,4,False,6.480517e-05,0.1538372,0.15390201
142,4,True,5.1937e-05,0.15402074,0.15407267
143,4,False,6.843487e-05,0.15282872,0.15289716
144,4,False,4.6707737e-05,0.15247564,0.15252236
145,4,False,9.981009e-05,0.15259026,0.15269007
146,4,False,2.420312e-05,0.15301162,0.15303582
147,4,False,4.66297e-05,0.15255442,0.15260105
148,4,False,6.0990034e-05,0.15407887,0.15413986
149,4,False,5.087365e-05,0.15292841,0.15297928
150,4,False,5.1162253e-05,0.15267676,0.15272792
151,4,True,4.345805e-05,0.15250677,0.15255022
152,4,True,3.1967855e-05,0.15390697,0.15393893
153,4,False,4.3747877e-05,0.1538175,0.15386125
154,4,False,8.163211e-05,0.15146275,0.15154438
155,4,True,4.0883406e-05,0.15197851,0.1520194
156,4,False,6.284597e-05,0.15348905,0.1535519
157,4,False,5.739014e-05,0.15518507,0.15524246
158,4,False,9.77921e-05,0.1530101,0.1531079
159,4,False,6.857029e-05,0.15312357,0.15319215
160,4,True,5.227804e-05,0.15561102,0.1556633
161,4,True,4.474001e-05,0.15278092,0.15282565
162,4,False,7.204844e-05,0.15354863,0.15362068
163,4,False,3.2187945e-05,0.1524928,0.152525
164,4,False,5.329191e-05,0.15395576,0.15400904
165,4,False,3.2353946e-05,0.15249868,0.15253103
166,4,False,6.489073e-05,0.151271,0.1513359
167,4,False,6.267402e-05,0.15350085,0.15356353
168,4,True,7.8537516e-05,0.15214379,0.15222234
169,4,True,5.9020007e-05,0.15273045,0.15278947
170,4,False,9.4641044e-05,0.1532701,0.15336473
171,4,True,5.2793566e-05,0.15329385,0.15334664
172,4,False,5.6337816e-05,0.15170947,0.15176581
173,4,False,4.7126367e-05,0.15386657,0.1539137
174,4,False,5.860485e-05,0.15278102,0.15283963
175,4,False,6.397949e-05,0.15297756,0.15304154
176,4,False,6.6662695e-05,0.15172593,0.1517926
177,4,False,4.1913227e-05,0.15223263,0.15227455
178,4,True,5.1243103e-05,0.15195788,0.15200913
179,4,False,5.281288e-05,0.15134874,0.15140155
180,4,True,6.614963e-05,0.15373594,0.15380208
181,4,True,5.74321e-05,0.15401667,0.1540741
182,4,False,7.806149e-05,0.15214358,0.15222165
183,4,True,5.6224315e-05,0.15294868,0.1530049
184,4,False,5.957546e-05,0.15098159,0.15104116
185,4,False,7.8579054e-05,0.1517516,0.15183017
186,4,False,5.872849e-05,0.15278828,0.152847
187,4,False,7.300663e-05,0.1507048,0.1507778
188,4,False,3.1542684e-05,0.15270832,0.15273987
189,4,False,5.710829e-05,0.1512577,0.1513148
190,4,False,4.7227528e-05,0.15420312,0.15425034
191,4,False,5.0508064e-05,0.15163876,0.15168928
192,4,False,4.3175463e-05,0.15403955,0.15408272
193,4,False,3.7515543e-05,0.1532262,0.15326372
194,4,False,0.00012500821,0.15298145,0.15310645
195,4,False,7.312357e-05,0.15212308,0.1521962
196,4,False,4.2354863e-05,0.1533673,0.15340964
197,4,False,4.864908e-05,0.14999385,0.1500425
198,4,False,5.122742e-05,0.15207994,0.15213117
199,4,True,4.1819043e-05,0.15208699,0.1521288
200,4,True,2.4470392e-05,0.15159073,0.1516152
201,4,False,2.6629772e-05,0.15320806,0.15323469
202,4,False,0.00010846878,0.15295148,0.15305994
203,4,False,4.4785003e-05,0.1517988,0.15184358
204,4,False,5.940395e-05,0.15550451,0.15556392
205,4,False,4.859061e-05,0.1515985,0.15164709
206,4,False,6.0825016e-05,0.15357465,0.15363547
207,4,False,6.8318346e-05,0.15165637,0.1517247
208,4,False,3.0123621e-05,0.15138267,0.1514128
209,4,True,7.923543e-05,0.15110685,0.15118608
210,4,False,3.596901e-05,0.15379387,0.15382984
211,4,True,8.2249775e-05,0.15399367,0.15407592
212,4,False,6.9417474e-05,0.15379995,0.15386938
213,4,False,5.0961396e-05,0.15365225,0.15370321
214,4,False,2.546007e-05,0.15157698,0.15160245
215,4,True,4.2196556e-05,0.15204415,0.15208635
216,4,True,5.0489554e-05,0.15186054,0.15191102
217,4,False,3.0999512e-05,0.15130915,0.15134014
218,4,True,4.618472e-05,0.15129982,0.151346
219,4,True,7.4843556e-05,0.15381384,0.15388869
220,4,False,4.51282e-05,0.15196015,0.15200529
221,4,False,5.1648567e-05,0.15143752,0.15148917
222,4,False,5.0293005e-05,0.15318774,0.15323803
223,4,False,8.160965e-05,0.15430798,0.15438959
224,4,False,7.269054e-05,0.15375085,0.15382354
225,4,True,6.2929576e-05,0.15302205,0.15308498
226,4,True,3.8988757e-05,0.15228921,0.1523282
227,4,False,5.459569e-05,0.15328787,0.15334247
228,4,True,5.00737e-05,0.15349421,0.15354428
229,4,False,6.375626e-05,0.15199006,0.15205382
230,4,True,3.3983742e-05,0.15131006,0.15134405
231,4,False,3.9948143e-05,0.15212663,0.15216658
232,4,False,8.25519e-05,0.15118605,0.1512686
233,4,False,3.1318064e-05,0.15249346,0.15252478
234,4,False,4.2408727e-05,0.1536289,0.15367131
235,4,False,3.4557717e-05,0.1502748,0.15030935
236,4,False,3.0643274e-05,0.15261835,0.15264899
237,4,False,2.6963842e-05,0.15213546,0.15216243
238,4,False,8.492095e-05,0.15267585,0.15276077
239,4,False,6.4027045e-05,0.15574011,0.15580414
240,4,False,6.0813636e-05,0.15313879,0.1531996
241,4,False,3.864462e-05,0.15235317,0.1523918
242,4,True,7.21578e-05,0.15252608,0.15259823
243,4,False,4.454228e-05,0.15264863,0.15269317
244,4,False,7.523743e-05,0.15368906,0.1537643
245,4,False,4.8905727e-05,0.15187475,0.15192366
246,4,False,4.7979596e-05,0.15297581,0.1530238
247,4,False,6.33885e-05,0.1543704,0.15443379
248,4,False,6.383775e-05,0.15198307,0.1520469
249,4,True,7.3729985e-05,0.15341312,0.15348685
250,4,True,8.565067e-05,0.15300027,0.15308592
251,4,False,7.602657e-05,0.15106401,0.15114003
252,4,False,6.7340916e-05,0.15366536,0.1537327
253,4,False,3.257031e-05,0.15464312,0.15467569
254,4,False,5.8991936e-05,0.15083244,0.15089144
255,4,True,6.51244e-05,0.15325755,0.15332267
256,4,False,6.1388084e-05,0.15219428,0.15225567
257,4,False,5.1121697e-05,0.15345083,0.15350196
258,4,True,6.860289e-05,0.15404946,0.15411806
259,4,True,7.1985705e-05,0.1542566,0.15432858
260,4,False,6.867015e-05,0.1541191,0.15418777
261,4,True,8.533078e-05,0.1518237,0.15190902
262,4,False,5.234037e-05,0.15341197,0.15346432
263,4,False,5.14075e-05,0.15505554,0.15510695
264,4,False,6.748424e-05,0.15304188,0.15310937
265,4,False,3.691879e-05,0.15182784,0.15186477
266,4,True,4.453398e-05,0.15210807,0.15215261
267,4,False,5.8885165e-05,0.15199128,0.15205017
268,4,True,9.1557784e-05,0.15211953,0.15221108
269,4,False,5.6045705e-05,0.15350714,0.15356319
270,4,False,4.3833574e-05,0.15306886,0.1531127
271,4,False,4.8617832e-05,0.15372987,0.1537785
272,4,False,8.025042e-05,0.15328558,0.15336584
273,4,True,8.04912e-05,0.1513263,0.1514068
274,4,False,6.5784974e-05,0.15322459,0.15329038
275,4,False,2.8003136e-05,0.15324181,0.15326981
276,4,False,4.0732983e-05,0.15265496,0.1526957
277,4,False,7.614703e-05,0.15107165,0.1511478
278,4,False,5.2994135e-05,0.15303552,0.15308851
279,4,False,4.6608675e-05,0.15184608,0.15189269
280,4,False,4.4004373e-05,0.15298676,0.15303077
281,4,False,5.478674e-05,0.1523402,0.152395
282,4,False,3.362552e-05,0.15277606,0.1528097
283,4,False,5.7064834e-05,0.15226074,0.1523178
284,4,False,6.444722e-05,0.15185161,0.15191606
285,4,False,4.9254046e-05,0.15459314,0.15464239
286,4,True,2.6302156e-05,0.15419969,0.15422599
287,4,False,5.172706e-05,0.15233836,0.15239008
288,4,False,8.036587e-05,0.15226823,0.1523486
289,4,False,7.218016e-05,0.15234482,0.152417
290,4,False,7.408805e-05,0.15316553,0.15323962
291,4,False,4.2522417e-05,0.15194999,0.15199251
292,4,False,4.2649237e-05,0.1537362,0.15377885
293,4,True,4.3066102e-05,0.15324137,0.15328443
294,4,True,4.658647e-05,0.15189151,0.1519381
295,4,False,5.9570943e-05,0.15235673,0.1524163
296,4,True,5.674267e-05,0.15232971,0.15238646
297,4,False,4.2882326e-05,0.153638,0.15368089
298,4,True,5.031932e-05,0.15258239,0.15263271
299,4,False,4.709358e-05,0.15045337,0.15050046
300,4,True,7.1374634e-05,0.15250081,0.15257218
